Insertion Threads, Removal Threads, Replacement Threads,,,,
,,,,,,
6,9,10,,,,
Time,Operation,Status,Item1,Item2,Result,List
16485899, replace, started,0,0, , [ ] 
16951008, replace, finished,0,0, false, [ ] 
17347892, add, started,167, , , [ ] 
17647338, add, finished,167, , true, [ 167 ] 
18026230, add, started,228, , , [ 167 ] 
18034090, remove, started,167, , , [ 167 ] 
18244879, replace, started,228,2280, , [ 167 ] 
18463193, remove, finished,167, , false, [ 167 ] 
18522390, add, finished,228, , true, [ 167 228 ] 
18569096, remove, started,228, , , [ 167 228 ] 
18696617, replace, started,228,2280, , [ 167 228 2280 ] 
18709410, replace, finished,228,2280, true, [ 167 228 2280 ] 
18785835, add, started,97, , , [ 167 228 2280 ] 
18805137, remove, started,97, , , [ 167 228 2280 ] 
18809488, replace, started,97,970, , [ 167 228 2280 ] 
18821597, replace, started,97,970, , [ 167 228 2280 ] 
19000340, add, started,95, , , [ 167 228 2280 ] 
19109193, remove, finished,228, , false, [ 167 228 2280 ] 
19127709, remove, started,95, , , [ 167 228 2280 ] 
19161108, add, started,233, , , [ 167 228 2280 ] 
19224872, replace, started,233,2330, , [ 167 228 2280 ] 
19228426, replace, finished,228,2280, false, [ 167 228 2280 ] 
19236875, remove, started,233, , , [ 167 228 2280 ] 
19308996, add, finished,97, , true, [ 97 167 228 2280 ] 
19363803, remove, started,233, , , [ 97 167 228 2280 ] 
19410013, replace, finished,97,970, true, [ 167 228 970 2280 ] 
19477562, add, finished,95, , true, [ 95 167 228 970 2280 ] 
19630193, replace, finished,97,970, false, [ 95 167 228 970 2280 ] 
19679299, replace, started,233,2330, , [ 95 167 228 970 2280 ] 
19779266, remove, finished,97, , false, [ 95 167 228 970 2280 ] 
19883397, remove, finished,233, , false, [ 95 167 228 970 2280 ] 
19884967, add, started,179, , , [ 95 167 228 970 2280 ] 
19900999, remove, started,179, , , [ 95 167 228 970 2280 ] 
19980605, remove, finished,233, , false, [ 95 167 228 970 2280 ] 
20276803, replace, started,179,1790, , [ 95 167 228 970 2280 ] 
20298945, remove, started,179, , , [ 95 167 228 970 2280 ] 
20299787, remove, started,179, , , [ 95 167 228 970 2280 ] 
20335909, replace, started,179,1790, , [ 95 167 228 970 2280 ] 
20398517, add, finished,233, , true, [ 95 167 228 233 970 2280 ] 
20528202, replace, finished,233,2330, true, [ 95 167 228 233 970 2280 2330 ] 
20573477, remove, finished,95, , true, [ 167 228 233 970 2280 2330 ] 
20575153, replace, started,179,1790, , [ 167 228 233 970 2280 2330 ] 
20629308, remove, finished,179, , false, [ 167 228 233 970 2280 2330 ] 
20696315, replace, finished,179,1790, true, [ 167 228 233 970 1790 2280 2330 ] 
20780667, remove, finished,179, , false, [ 167 228 233 970 1790 2280 2330 ] 
20860294, replace, finished,179,1790, false, [ 167 228 233 970 1790 2280 2330 ] 
20985547, add, finished,179, , true, [ 167 179 228 233 970 1790 2280 2330 ] 
21051009, remove, finished,179, , false, [ 167 179 228 233 970 1790 2280 2330 ] 
21174552, replace, finished,233,2330, false, [ 167 179 228 233 970 1790 2280 2330 ] 
21868542, replace, finished,179,1790, false, [ 167 179 228 233 970 1790 2280 2330 ] 
